movie_title,release_date,genre,meta_mixed,meta_negative,meta_positive,metascore,user_mixed,user_negative,user_positive,userscore
Pandorum,25-Sep-09,"Action,Sci-Fi,Thriller,Horror",2,9,2,28,47,70,245,6.5
Pitch Black,18-Feb-00,"Action,Sci-Fi,Thriller,Horror",12,6,11,49,24,6,251,8.6
My Super Ex-Girlfriend,21-Jul-06,"Sci-Fi,Drama,Thriller,Comedy,Romance,Crime",16,4,8,50,24,23,220,8.7
The Waterboy,6-Nov-98,"Sport,Comedy",15,4,2,41,24,43,198,7.8
Hot Rod,3-Aug-07,Comedy,10,8,9,43,35,21,181,8
Lara Croft Tomb Raider: The Cradle of Life,25-Jul-03,"Action,Adventure,Thriller,Fantasy",23,7,4,43,42,21,166,8
August Rush,21-Nov-07,"Drama,Romance,Music",10,13,4,38,33,30,156,7.5
Remember Me,12-Mar-10,"Drama,Romance",10,11,8,40,21,24,167,7.7
Event Horizon,15-Aug-97,"Adventure,Sci-Fi,Mystery,Thriller,Fantasy,Horror",14,4,2,35,32,17,128,7.2
SLC Punk!,16-Apr-99,"Drama,Comedy",10,4,7,50,3,8,112,8.7
Sleepers,18-Oct-96,"Drama,Thriller,Crime",3,6,9,49,10,4,102,8.6
Conan the Barbarian,14-May-82,"Action,Adventure,Fantasy",3,3,4,43,19,3,92,8
Kalifornia,3-Nov-93,"Drama,Thriller,Crime",6,5,6,49,7,6,85,8.6
The Collector,31-Jul-09,"Thriller,Horror,Crime",4,6,1,29,17,18,56,6.6
Yu-Gi-Oh!: The Movie,13-Aug-04,"Action,Adventure,Thriller,Fantasy,Animation,Family",2,16,0,15,19,32,35,5.2
Catch and Release,26-Jan-07,"Drama,Comedy,Romance",20,5,3,43,9,10,55,8
The Outsider,9-Mar-18,"Drama,Mystery,Thriller,Crime",4,7,1,30,19,8,34,6.7
Congo,9-Jun-95,"Action,Adventure,Sci-Fi,Mystery",8,10,1,22,22,10,22,5.9
American Mary,31-May-13,"Thriller,Horror",5,5,5,46,8,2,42,8.3
The Postman,25-Dec-97,"Action,Adventure,Sci-Fi,Drama",6,8,0,29,10,11,31,6.6
The Adventures of Pluto Nash,16-Aug-02,"Action,Sci-Fi,Comedy",0,12,0,12,8,23,19,4.9
Godsend,30-Apr-04,"Drama,Thriller,Horror",9,23,0,24,9,16,24,6.1
Mickey Blue Eyes,20-Aug-99,"Comedy,Romance,Crime",14,4,12,49,7,2,38,8.6
The Family That Preys,12-Sep-08,Drama,7,2,5,49,0,5,42,8.6
Birthday Girl,1-Feb-02,"Thriller,Comedy,Romance,Crime",10,5,17,51,3,2,40,8.8
Addicted to Love,23-May-97,"Comedy,Romance",8,3,8,49,4,3,35,8.6
My Life in Ruins,5-Jun-09,"Comedy,Romance",13,10,2,34,4,8,22,7.1
Return to Oz,21-Jun-85,"Adventure,Mystery,Fantasy,Family",6,4,1,42,2,2,25,7.9
Child's Play 3,30-Aug-91,"Thriller,Horror",5,8,0,27,7,3,8,6.4
Paths of the Soul,13-May-16,Drama,0,0,7,90,3,6,7,5.3
Manakamana,18-Apr-14,Documentary,0,0,15,86,2,6,6,4.9
Nina,22-Apr-16,"Biography,Drama,Music",8,10,1,27,3,4,7,6.4
Modigliani,13-May-05,"Biography,Drama",4,6,0,25,1,5,7,6.2
The Intruder,23-Dec-05,Drama,0,1,12,85,2,5,5,4.8
Mighty Joe Young,25-Dec-98,"Action,Adventure,Thriller,Fantasy,Family",10,2,8,51,3,0,9,8.8
Splinterheads,6-Nov-09,Comedy,5,2,1,41,2,2,8,7.8
High School,1-Jun-12,Comedy,6,9,1,31,4,1,7,6.8
The Trumpet of the Swan,11-May-01,"Drama,Animation,Musical",2,12,1,27,3,3,5,6.4
The Out-of-Towners,2-Apr-99,Comedy,10,10,1,33,3,1,5,7
Girl Play,1-Apr-05,Comedy,5,3,0,37,0,2,6,7.4
The Clapper,26-Jan-18,Comedy,1,9,1,21,4,1,3,5.8
Saving Lincoln,15-Feb-13,Biography,4,5,0,21,0,3,5,5.8
Lotus Eaters,5-Apr-13,Drama,5,1,1,36,0,2,5,7.3
Buddy Boy,24-Mar-00,"Drama,Thriller",3,5,2,36,0,1,5,7.3
Hits,13-Feb-15,"Drama,Comedy",7,1,1,45,1,0,4,8.2
Mr. Magoo,25-Dec-97,"Adventure,Comedy,Family",3,18,0,18,2,1,1,5.5
The Island,22-Jul-05,"Action,Sci-Fi,Thriller",21,4,13,50,78,34,520,8.6
The Fifth Element,9-May-97,"Action,Adventure,Sci-Fi,Thriller,Romance",9,3,10,52,26,13,415,8.8
Anger Management,11-Apr-03,"Comedy,Romance",23,4,12,52,42,18,312,8.8
Ratchet & Clank,29-Apr-16,"Action,Adventure,Sci-Fi,Comedy,Animation,Family",8,10,1,29,60,67,187,6.5
Austin Powers: International Man of Mystery,2-May-97,"Action,Adventure,Comedy,Crime",8,5,12,51,29,11,262,8.7
Saw V,24-Oct-08,"Thriller,Horror,Crime",4,9,0,20,76,77,110,5.6
Pretty Woman,23-Mar-90,"Comedy,Romance",3,6,9,51,23,8,201,8.7
An American Carol,3-Oct-08,"Fantasy,Comedy",5,7,0,20,10,92,126,5.6
Rush Hour 2,3-Aug-01,"Action,Thriller,Comedy,Crime",11,7,10,48,34,9,182,8.4
Fear and Loathing in Las Vegas,22-May-98,"Drama,Fantasy",8,7,4,41,35,21,169,7.7
Blow,6-Apr-01,"Biography,Drama,Crime",19,3,12,52,22,6,196,8.8
My Name Is Khan,12-Feb-10,"Drama,Romance",3,1,3,50,8,21,176,8.6
Accepted,18-Aug-06,Comedy,19,3,5,47,34,9,133,8.3
Friday the 13th,9-May-80,Horror,4,7,0,22,51,37,82,5.8
Spaceballs,24-Jun-87,"Adventure,Sci-Fi,Comedy",5,5,4,46,21,8,127,8.2
S.W.A.T.,8-Aug-03,"Action,Thriller,Crime",17,9,9,45,29,9,117,8.1
Fred Claus,9-Nov-07,"Fantasy,Comedy,Family",16,9,6,42,21,22,110,7.8
Halloween 4: The Return of Michael Myers,21-Oct-88,"Thriller,Horror",4,4,2,34,39,12,68,7
Spanglish,17-Dec-04,"Drama,Comedy,Romance",14,7,15,48,15,9,91,8.4
The Boondock Saints II: All Saints Day,30-Oct-09,"Action,Drama,Thriller,Crime",3,13,0,24,18,35,59,6
A Perfect Murder,5-Jun-98,"Thriller,Crime",11,5,6,50,18,1,78,8.6
My Best Friend's Girl,19-Sep-08,"Comedy,Romance",3,9,1,34,10,20,55,7
Crossroads,15-Feb-02,"Adventure,Drama,Comedy,Romance,Music",13,17,1,27,11,23,47,6.3
School for Scoundrels,29-Sep-06,"Comedy,Romance",14,9,5,44,10,10,56,8
John Q,15-Feb-02,"Drama,Thriller,Crime",15,14,4,30,24,7,42,6.6
Outlander,23-Jan-09,"Action,Adventure,Sci-Fi",5,3,3,40,18,2,49,7.6
Bel Ami,8-Jun-12,Drama,17,5,3,42,7,10,41,7.8
Hudson Hawk,24-May-91,"Action,Adventure,Comedy",3,11,1,17,9,18,28,5.3
French Kiss,5-May-95,"Comedy,Romance",7,2,5,50,8,2,44,8.6
Monster-in-Law,13-May-05,"Comedy,Romance",11,23,4,31,9,10,28,6.7
Diary of a Mad Black Woman,25-Feb-05,"Drama,Comedy,Romance",16,11,3,36,1,11,33,7.2
Beverly Hills Ninja,17-Jan-97,"Action,Comedy",2,6,3,27,9,10,20,6.3
Bounce,17-Nov-00,"Drama,Romance",13,5,13,52,6,0,28,8.8
Generation Um...,3-May-13,Drama,3,7,0,25,5,10,15,6.1
Secuestro express,5-Aug-05,"Action,Drama,Thriller,Crime",10,2,5,48,1,3,24,8.4
Friday the 13th: The Final Chapter,13-Apr-84,"Thriller,Horror",3,2,2,33,8,3,17,6.9
Dancing at the Blue Iguana,19-Oct-01,"Drama,Mystery",5,2,1,41,2,5,20,7.7
The United States of Leland,2-Apr-04,"Drama,Crime",14,10,3,37,8,2,17,7.3
The Ultimate Gift,9-Mar-07,Drama,10,1,5,49,1,2,23,8.5
31,21-Oct-16,"Thriller,Horror",6,5,2,35,6,2,15,7.1
Meet Bill,4-Apr-08,"Drama,Comedy",3,4,1,30,6,4,13,6.6
The Baytown Outlaws,11-Jan-13,"Action,Comedy,Crime",6,5,0,33,2,4,15,6.9
Joe Somebody,19-Dec-01,"Drama,Comedy,Romance",11,6,4,42,4,1,13,7.8
6 Days,18-Aug-17,"Action,Drama,History,Thriller",2,4,1,36,7,0,10,7.2
The Lifeguard,30-Aug-13,"Drama,Comedy,Romance",5,8,1,34,5,1,11,7
The Keeper: The Legend of Omar Khayyam,10-Jun-05,"Adventure,Drama,Family",4,3,5,43,0,2,13,7.9
Trash Humpers,7-May-10,Horror,7,3,1,33,1,4,10,6.9
Mambo italiano,19-Sep-03,"Drama,Comedy",15,6,5,41,2,1,10,7.7
Eulogy,15-Oct-04,"Drama,Comedy",6,6,0,34,5,2,6,7
Oh My God,13-Nov-09,Documentary,5,3,1,30,4,2,7,6.6
The Miracle Season,6-Apr-18,"Biography,Drama,Sport",9,2,2,44,3,0,9,8
Skills Like This,20-Mar-09,Comedy,7,0,1,44,0,2,9,8
Night Train to Lisbon,6-Dec-13,"Mystery,Thriller,Romance",2,5,1,30,2,2,6,6.6
The Wash,14-Nov-01,Comedy,2,12,1,18,3,3,4,5.4
Premature,2-Jul-14,Comedy,2,6,1,34,1,1,7,7
My Life Directed by Nicolas Winding Refn,27-Feb-15,Documentary,6,1,2,50,1,0,7,8.6
Marilyn Hotchkiss' Ballroom Dancing & Charm School,31-Mar-06,"Drama,Comedy,Romance,Musical",12,5,3,40,0,2,6,7.6
Girl on a Bicycle,14-Feb-14,"Drama,Comedy,Romance",4,6,0,32,1,2,5,6.8
Mermaids,14-Dec-90,"Drama,Comedy,Romance",11,1,8,56,0,0,6,9.2
Hollywood Dreams,18-May-07,"Drama,Comedy,Romance",5,3,5,52,1,0,4,8.8
Miss Julie,10-Dec-99,Drama,10,4,7,46,0,1,4,8.2
High Heels and Low Lifes,26-Oct-01,"Action,Drama,Comedy",2,4,1,39,2,0,2,7.5
Joker,3-Oct-19,"Action,Adventure,Drama,Thriller,Fantasy,Crime",15,11,30,58,56,65,"1,739",9.3
Saw,29-Oct-04,"Mystery,Thriller,Horror,Crime",12,10,10,46,64,44,541,8.1
Justin Bieber: Never Say Never,11-Feb-11,"Music,Documentary",11,3,8,52,22,387,69,1.7
Phone Booth,4-Apr-03,"Mystery,Thriller",12,4,19,56,30,11,407,9.1
Blade II,22-Mar-02,"Action,Adventure,Thriller,Fantasy",7,7,14,52,52,9,380,8.7
Lucky Number Slevin,7-Apr-06,"Thriller,Crime",22,2,12,53,30,13,351,8.8
Resident Evil,15-Mar-02,"Action,Sci-Fi,Thriller,Horror",11,11,2,33,93,46,218,6.8
Charlie's Angels,3-Nov-00,"Action,Adventure,Comedy,Crime",14,5,15,52,43,16,264,8.7
The Transporter,11-Oct-02,"Action,Thriller,Crime",12,4,11,51,43,4,267,8.6
Law Abiding Citizen,16-Oct-09,"Drama,Thriller,Crime",11,12,3,34,57,45,206,6.9
Daddy's Home,25-Dec-15,Comedy,21,5,4,42,58,29,207,7.7
Dark Water,8-Jul-05,"Drama,Thriller,Horror",15,5,15,52,23,14,158,8.7
Ghost,13-Jul-90,"Drama,Mystery,Thriller,Fantasy,Comedy,Romance",10,2,5,52,21,5,152,8.7
Fear,12-Apr-96,Thriller,7,3,6,51,15,138,22,1.6
EuroTrip,20-Feb-04,"Adventure,Comedy",16,8,6,45,25,7,104,8
Twins,9-Dec-88,Comedy,5,1,7,53,17,2,84,8.8
A Night at the Roxbury,2-Oct-98,Comedy,5,8,1,26,18,27,50,6.1
The Stoning of Soraya M.,26-Jun-09,"Drama,Crime",9,3,8,50,0,11,73,8.5
Dead Ringers,23-Sep-88,"Drama,Thriller,Romance",1,0,14,86,13,23,32,5.1
Serendipity,5-Oct-01,"Fantasy,Comedy,Romance",15,4,14,52,9,1,57,8.7
Open Windows,7-Nov-14,"Action,Thriller,Crime",5,2,3,47,12,3,46,8.2
Dungeons & Dragons,8-Dec-00,"Action,Adventure,Fantasy",6,19,0,14,9,28,23,4.9
Peaceful Warrior,2-Jun-06,"Drama,Sport,Romance",11,9,3,40,10,6,42,7.5
Atlas Shrugged II: The Strike,12-Oct-12,"Sci-Fi,Drama,Mystery",4,6,1,26,1,17,30,6.1
Love Me If You Dare,21-May-04,"Drama,Comedy,Romance",16,5,9,45,3,6,36,8
She's All That,29-Jan-99,"Comedy,Romance",16,5,11,51,7,1,35,8.6
BASEketball,31-Jul-98,"Sport,Comedy",9,6,3,38,13,1,29,7.3
Just My Luck,12-May-06,"Fantasy,Comedy,Romance",11,14,1,29,14,7,22,6.4
Naked in Ashes,21-Oct-05,Documentary,4,2,5,51,2,4,32,8.6
End of the Spear,20-Jan-06,"Adventure,Drama",9,6,3,45,3,5,30,8
Bunraku,30-Sep-11,"Action,Drama,Fantasy",3,7,1,28,13,6,19,6.3
Phat Girlz,7-Apr-06,Comedy,6,7,3,36,0,9,27,7.1
Death to Smoochy,29-Mar-02,"Thriller,Comedy,Crime,Musical",11,13,6,38,4,5,26,7.3
Little Manhattan,30-Sep-05,"Comedy,Romance,Family",6,1,3,52,3,1,29,8.7
Prince of Darkness,23-Oct-87,Horror,3,3,4,50,4,0,28,8.5
"Mystery, Alaska",1-Oct-99,"Drama,Sport,Comedy",16,3,10,49,4,0,25,8.4
Secondhand Lions,19-Sep-03,"Drama,Comedy,Family",17,4,12,52,3,0,25,8.7
Gimme Shelter,24-Jan-14,Drama,12,12,5,37,4,4,17,7.2
The Red Sea Diving Resort,31-Jul-19,"Drama,History,Thriller",4,4,0,29,10,3,12,6.4
Scenic Route,23-Aug-13,"Drama,Thriller",5,4,1,34,6,2,14,6.9
American Desi,16-Mar-01,"Drama,Comedy,Romance",5,1,1,50,1,2,18,8.5
In the Cut,22-Oct-03,"Mystery,Thriller,Romance",19,9,10,46,4,0,15,8.1
Dragonfly,22-Feb-02,"Drama,Mystery,Thriller,Fantasy,Romance",9,22,2,25,2,6,10,6
Friday the 13th: A New Beginning,22-Mar-85,"Mystery,Thriller,Horror",1,7,0,16,5,6,5,5.1
New Best Friend,12-Apr-02,"Drama,Mystery,Thriller",3,11,1,13,1,8,6,4.8
Saint Ralph,5-Aug-05,"Drama,Sport,Comedy",10,2,9,51,0,1,13,8.6
Tennessee,5-Jun-09,Drama,4,2,2,42,3,1,9,7.7
Nobody Speak: Trials of the Free Press,23-Jun-17,Documentary,2,0,12,68,2,7,3,3.3
Around the Bend,8-Oct-04,Drama,18,6,7,46,1,0,11,8.1
Whiteboyz,8-Oct-99,"Drama,Comedy",6,1,2,45,0,2,10,8
The 'Burbs,17-Feb-89,"Mystery,Thriller,Comedy",6,8,6,45,2,0,10,8
The Last Word,3-Mar-17,"Drama,Comedy",19,4,0,40,4,0,8,7.5
The Secret Scripture,13-Oct-17,"Drama,Romance",5,3,2,37,4,1,6,7.2
Greenfingers,27-Jul-01,"Comedy,Romance,Crime",13,5,7,46,0,1,9,8.1
Guarding Tess,11-Mar-94,Comedy,6,2,6,46,1,0,9,8.1
Revenge of the Green Dragons,24-Oct-14,"Action,Drama,Crime",7,5,0,36,4,1,5,7.1
Mothers and Daughters,6-May-16,Drama,1,7,1,29,1,3,6,6.4
Why Stop Now,17-Aug-12,"Drama,Comedy",4,4,2,36,2,1,5,7.1
The Other Sister,26-Feb-99,"Comedy,Romance",10,10,1,28,0,3,5,6.3
Bisbee '17,5-Sep-18,"Western,Documentary",0,0,22,87,0,2,3,5.2
Meet Me in Montenegro,10-Jul-15,"Drama,Comedy,Romance",6,0,1,51,1,0,4,8.6
Still Life,16-Jan-15,"Drama,Comedy",12,0,3,45,0,0,4,8
Close Your Eyes,23-Apr-04,"Thriller,Horror,Crime",5,4,4,45,2,0,2,8
Sin City: A Dame To Kill For,22-Aug-14,"Action,Thriller,Crime",23,6,9,46,124,39,437,8
House of Wax,6-May-05,"Thriller,Horror",21,10,5,41,69,71,307,7.5
The Notebook,25-Jun-04,"Drama,Romance",15,3,16,53,37,20,371,8.7
47 Ronin,25-Dec-13,"Action,Adventure,Drama,Fantasy",8,12,1,28,116,77,213,6.2
Vanilla Sky,14-Dec-01,"Sci-Fi,Mystery,Thriller,Romance",12,9,12,45,33,58,309,7.9
Hansel and Gretel: Witch Hunters,25-Jan-13,"Action,Fantasy,Horror,Comedy",8,16,1,23,99,92,155,5.7
Con Air,6-Jun-97,"Action,Thriller,Crime",11,4,8,52,35,12,235,8.6
Starsky & Hutch,5-Mar-04,"Action,Comedy,Crime",15,4,21,55,30,10,232,8.9
Saw VI,23-Oct-09,"Mystery,Thriller,Horror",6,5,1,30,77,45,127,6.4
Jay and Silent Bob Strike Back,24-Aug-01,"Adventure,Comedy",10,8,13,51,23,14,191,8.5
The Holiday,8-Dec-06,"Comedy,Romance",15,2,14,52,29,6,185,8.6
Ace Ventura: Pet Detective,4-Feb-94,"Action,Mystery,Thriller,Comedy",3,6,5,37,53,21,145,7.1
The Forest,8-Jan-16,"Mystery,Thriller,Horror",17,11,2,34,47,41,105,6.8
Takers,27-Aug-10,"Action,Thriller,Crime",10,4,6,45,35,17,133,7.9
Push,6-Feb-09,"Action,Sci-Fi,Drama,Thriller",6,11,4,36,40,29,116,7
The Darkest Hour,25-Dec-11,"Action,Sci-Fi,Thriller,Horror",2,8,0,18,55,65,62,5.2
Let's Be Cops,13-Aug-14,"Action,Comedy",9,12,2,30,49,27,100,6.4
Labyrinth,27-Jun-86,"Adventure,Fantasy,Family,Musical",5,2,3,50,18,6,138,8.4
eXistenZ,23-Apr-99,"Adventure,Sci-Fi,Thriller,Horror",6,2,21,68,15,84,53,3.4
Rat Race,17-Aug-01,"Adventure,Comedy",6,7,13,52,17,5,119,8.6
The Tracey Fragments,9-May-08,Drama,4,2,4,54,1,14,115,8.8
Wild Things,20-Mar-98,"Mystery,Thriller,Crime",6,5,9,52,23,3,88,8.6
Snake Eyes,7-Aug-98,"Mystery,Thriller,Crime",11,4,9,52,13,83,15,1.8
I Spit on Your Grave,8-Oct-10,"Thriller,Horror,Crime",4,9,1,27,31,19,52,6.1
"Big Mommas: Like Father, Like Son",18-Feb-11,Comedy,5,9,0,22,16,37,44,5.6
Wrong Turn,30-May-03,"Thriller,Horror",7,8,2,32,24,14,48,6.6
2016: Obama's America,13-Jul-12,Documentary,4,9,1,28,2,30,52,6.2
Six Days Seven Nights,12-Jun-98,"Action,Adventure,Romance",13,2,8,51,12,4,61,8.5
The Ward,8-Jul-11,"Thriller,Horror",6,7,5,38,23,10,40,7.2
Courageous,30-Sep-11,Drama,5,3,2,42,8,10,51,7.6
Stargate,28-Oct-94,"Action,Adventure,Sci-Fi",9,4,4,42,13,3,51,7.6
Comet,5-Dec-14,"Sci-Fi,Drama,Comedy,Romance",7,1,5,52,5,4,57,8.6
Rocky IV,27-Nov-85,"Drama,Sport",6,5,2,40,23,1,42,7.4
Flight of the Phoenix,17-Dec-04,"Action,Adventure,Drama,Thriller",16,5,7,47,9,4,46,8.1
Mine 9,7-Jun-19,Drama,2,0,5,66,0,0,54,10
Human Traffic,5-May-00,"Drama,Comedy,Music",13,3,8,53,2,5,45,8.7
The 13th Warrior,27-Aug-99,"Action,Adventure,Fantasy",14,7,6,42,17,0,34,7.6
Rambo: First Blood Part II,22-May-85,"Action,Adventure,Thriller,War",9,3,3,47,11,0,30,8.1
Bilal: A New Breed of Hero,7-Oct-16,"Action,Adventure,Animation",6,1,4,52,4,3,31,8.6
Snow Dogs,18-Jan-02,"Adventure,Sport,Comedy,Family",11,14,1,29,11,6,14,6.3
Supernova,14-Jan-00,"Sci-Fi,Thriller",1,17,1,19,11,9,10,5.3
Music of the Heart,29-Oct-99,"Drama,Music",18,2,13,54,0,2,25,8.8
Hell Fest,28-Sep-18,Horror,1,9,1,26,8,5,13,6
Albino Alligator,17-Jan-97,"Drama,Thriller,Crime",10,3,4,48,5,1,18,8.2
Filth and Wisdom,17-Oct-08,"Drama,Comedy,Romance,Music",6,14,1,26,3,8,13,6
Nitro Circus: The Movie,8-Aug-12,"Action,Comedy,Documentary",5,1,1,43,4,2,17,7.7
Air America,10-Aug-90,"Action,Comedy",5,6,2,33,4,6,13,6.7
Mean Machine,22-Feb-02,"Drama,Sport,Comedy",14,5,6,45,2,2,18,7.9
Fathers and Daughters,8-Jul-16,Drama,8,9,0,31,5,3,11,6.5
For Love of the Game,17-Sep-99,"Drama,Sport,Romance",15,8,8,43,5,0,12,7.7
Exists,24-Oct-14,Horror,3,8,0,22,8,3,5,5.6
Pretty Persuasion,12-Aug-05,"Drama,Comedy",14,9,6,45,4,1,9,7.9
Land of the Blind,16-Jun-06,Drama,4,6,0,32,5,2,7,6.6
Salinger,6-Sep-13,Documentary,9,11,8,40,4,1,8,7.4
My All American,13-Nov-15,"Biography,Drama,Sport",7,8,1,34,2,2,9,6.8
Mini's First Time,14-Jul-06,"Drama,Comedy,Crime",3,3,4,45,2,0,10,7.9
The Answer Man,24-Jul-09,"Comedy,Romance",13,1,2,44,1,0,10,7.8
Momma's Man,22-Aug-08,Drama,2,0,15,84,2,4,4,5
Short Circuit,9-May-86,"Sci-Fi,Comedy,Family",5,3,4,50,0,0,10,8.4
Borstal Boy,1-Mar-02,"Drama,Romance",11,4,6,47,1,1,8,8.1
In the Face of Evil: Reagan's War in Word and Deed,15-Oct-04,Documentary,5,2,2,39,0,2,6,7.3
3 Strikes,1-Mar-00,Comedy,0,16,0,11,1,4,3,4.5
Shelter,13-Nov-15,Drama,4,3,4,43,1,0,6,7.7
American Cannibal: The Road to Reality,16-Mar-07,Documentary,2,4,4,44,0,1,5,7.8
"After Fall, Winter",27-Jan-12,Drama,1,6,0,19,1,2,3,5.3
How to Kill Your Neighbor's Dog,22-Feb-02,"Drama,Comedy",7,4,2,40,0,1,4,7.4
Into My Heart,5-May-00,Drama,2,4,1,34,0,1,4,6.8
Eddie Murphy: Raw,18-Dec-87,"Comedy,Documentary",4,1,5,54,1,0,3,8.8
Snatch.,19-Jan-01,"Thriller,Crime",9,5,17,55,36,13,449,8.8
Rambo,25-Jan-08,"Action,Thriller",13,7,6,46,39,55,376,7.9
Old School,21-Feb-03,Comedy,14,5,13,54,26,10,213,8.7
Ninja Assassin,25-Nov-09,"Action,Drama,Thriller,Crime",8,9,3,34,35,44,125,6.7
FeardotCom,30-Aug-02,"Thriller,Horror,Crime",4,16,0,16,3,101,97,4.9
A Time to Kill,24-Jul-96,"Drama,Thriller,Crime",9,4,8,54,16,8,146,8.7
Never Back Down,14-Mar-08,"Action,Drama,Sport",12,7,3,39,21,30,104,7.2
Swordfish,8-Jun-01,"Action,Thriller,Crime",14,15,4,32,29,34,80,6.5
Dear White People,17-Oct-14,"Drama,Comedy",3,0,29,79,16,58,60,4.6
The Hitcher,19-Jan-07,"Action,Thriller,Horror,Crime",5,11,0,28,17,40,70,6.1
Jackass: The Movie,25-Oct-02,"Action,Comedy",3,5,6,42,15,14,90,7.5
The Jackal,14-Nov-97,"Action,Adventure,Thriller,Crime",11,8,1,36,15,23,71,6.9
Copycat,27-Oct-95,"Mystery,Thriller,Horror,Crime",7,2,10,54,11,6,87,8.7
The Mothman Prophecies,25-Jan-02,"Drama,Mystery,Thriller,Horror",18,3,11,52,8,6,83,8.5
Lethal Weapon 3,15-May-92,"Action,Thriller,Crime",11,8,7,40,26,4,47,7.3
The Cave,26-Aug-05,"Action,Adventure,Horror",8,14,2,30,13,18,37,6.3
Little Boy,24-Apr-15,"Drama,Comedy,War",8,13,3,30,9,15,33,6.3
Rudderless,17-Oct-14,"Drama,Comedy,Music",5,5,9,52,6,3,45,8.5
Father of the Bride,20-Dec-91,"Comedy,Family",10,1,6,51,8,2,43,8.4
The Lost City,28-Apr-06,Drama,14,4,5,47,6,7,39,8
Welcome to the Rileys,29-Oct-10,Drama,18,3,9,50,4,4,43,8.3
Ladder 49,1-Oct-04,"Action,Drama,Thriller",18,6,8,47,8,4,35,8
Get Carter,6-Oct-00,"Action,Drama,Thriller,Crime",9,11,0,24,12,11,17,5.7
A Guy Thing,17-Jan-03,"Comedy,Romance",8,18,3,27,8,13,18,6
A Little Bit of Heaven,4-May-12,"Drama,Comedy,Romance",4,16,0,14,11,16,12,4.7
The Air I Breathe,25-Jan-08,"Drama,Thriller,Romance,Crime",3,5,1,37,5,6,26,7
Charlie Countryman,15-Nov-13,"Action,Drama,Thriller,Comedy,Romance",6,11,3,31,7,9,21,6.4
XX,17-Feb-17,Horror,5,0,10,64,15,18,3,3.1
Empire Records,22-Sep-95,"Drama,Comedy,Music",4,3,0,30,11,6,15,6.3
Some Kind of Wonderful,27-Feb-87,"Drama,Romance",10,1,5,55,0,2,27,8.8
The Last Castle,19-Oct-01,"Action,Drama,Thriller",14,9,9,43,7,1,21,7.6
My Name Is Bruce,31-Oct-08,"Horror,Comedy",6,7,1,36,5,4,17,6.9
The Emperor's Club,22-Nov-02,Drama,13,5,14,49,1,4,19,8.2
The Man Who Cried,25-May-01,"Drama,Romance,War,Music",10,7,5,40,4,3,16,7.3
Blood: The Last Vampire,10-Jul-09,"Action,Thriller,Fantasy,Horror",5,7,1,28,5,6,11,6.1
A Dog's Journey,17-May-19,"Adventure,Drama,Fantasy,Comedy,Family",12,3,1,43,3,2,16,7.6
The Life Before Her Eyes,18-Apr-08,"Drama,Thriller",8,11,6,38,3,4,14,7.1
Party Monster,5-Sep-03,"Biography,Drama,Thriller,Crime",12,12,5,36,4,4,13,6.9
CBGB,4-Oct-13,"Drama,History,Music",5,11,1,30,5,4,10,6.3
Playing It Cool,8-May-15,"Comedy,Romance",3,6,1,30,4,4,10,6.3
Caddyshack,25-Jul-80,"Sport,Comedy",2,5,5,48,2,0,15,8.1
Never Die Alone,26-Mar-04,"Action,Drama,Thriller,Crime",9,13,6,38,7,1,9,7.1
Mother's Day,4-May-12,"Drama,Thriller,Horror,Crime",5,3,0,34,6,2,9,6.7
Simon Birch,11-Sep-98,"Drama,Comedy",11,7,5,39,3,2,11,7.2
La Mujer de Mi Hermano,14-Apr-06,Drama,12,6,3,41,3,1,10,7.4
Riding in Cars with Boys,19-Oct-01,"Biography,Drama,Comedy",14,8,9,43,2,1,10,7.6
Chelsea Walls,19-Apr-02,Drama,5,9,4,34,0,4,8,6.7
The Bodyguard,25-Nov-92,"Action,Drama,Romance,Music",8,8,4,39,5,0,6,7.2
Bones,24-Oct-01,"Horror,Crime",13,4,4,42,4,0,6,7.5
Stolen,12-Mar-10,"Drama,Mystery,Thriller,Crime",9,3,0,34,4,1,5,6.7
Home Room,5-Sep-03,Drama,7,2,1,43,0,2,7,7.6
Heart of a Dog,21-Oct-15,Documentary,3,0,17,84,2,2,4,5.1
"Sorry, Haters",1-Mar-06,"Drama,Thriller",5,7,3,43,0,1,7,7.6
Sleeping with the Enemy,8-Feb-91,"Drama,Thriller",14,4,4,48,2,0,5,8.1
Ghost Team One,11-Oct-13,"Horror,Comedy",1,5,1,21,4,1,2,5.4
Flakes,19-Dec-07,Comedy,4,3,0,35,3,0,3,6.8
Spinning Into Butter,27-Mar-09,Drama,2,8,1,20,2,2,2,5.3
The Wraith,21-Nov-86,"Action,Sci-Fi,Thriller,Horror,Romance",4,4,2,39,0,1,4,7.2
Adventures of Power,9-Oct-09,"Comedy,Music",7,2,0,39,1,1,3,7.2
About Time,1-Nov-13,"Sci-Fi,Drama,Fantasy,Comedy,Romance",13,3,18,55,34,16,443,8.7
The Strangers,30-May-08,"Drama,Thriller,Horror",4,11,12,47,51,63,343,7.9
Silent Hill: Revelation 3D,26-Oct-12,"Mystery,Thriller,Horror",1,13,0,16,102,165,135,4.8
Amores Perros,30-Mar-01,"Drama,Thriller",4,0,27,83,7,106,144,5.1
